@TYPE	VH+VL	VH	VL	CD20	
@	Y105A	Y105A	Y105A	Y105A	
0	0,1003874	0,0980935	0,0794509	0,0672974	
0,04	0,1065473	0,0989843	0,0824937	0,0680147	
0,08	0,0938088	0,0992776	0,0826473	0,0767953	
0,12	0,0971933	0,099148	0,0868204	0,0844307	
0,16	0,123206	0,1101082	0,0897186	0,0770402	
0,2	0,1136836	0,1030516	0,0945869	0,0861452	
0,24	0,1052899	0,0833842	0,1008699	0,0771997	
0,28	0,1151964	0,0683837	0,1040811	0,0822433	
0,32	0,136687	0,0899232	0,1210166	0,1000402	
0,36	0,1185166	0,1038048	0,109025	0,0961163	
0,4	0,0889915	0,0880505	0,0850523	0,09274	
0,44	0,089172	0,0802428	0,0887709	0,087359	
0,48	0,1103618	0,0999041	0,103231	0,090934	
0,52	0,1014764	0,099918	0,09051	0,0961676	
0,56	0,1265379	0,1079078	0,1025596	0,0882793	
0,6	0,1129807	0,1037869	0,0972063	0,094597	
0,64	0,1119107	0,0960021	0,0909905	0,1006896	
0,68	0,1076585	0,09142	0,0922236	0,1090119	
0,72	0,0949716	0,0851029	0,0956185	0,0999215	
0,7600001	0,1292245	0,1067168	0,1171644	0,1063761	
0,8	0,1276833	0,109043	0,1041835	0,1056146	
0,84	0,1142775	0,1064658	0,1052258	0,1079927	
0,8800001	0,1137232	0,1021918	0,089963	0,1198162	
0,92	0,1112522	0,0914152	0,0951793	0,09175	
0,96	0,0987045	0,1015464	0,0862436	0,1099969	
1	0,1111168	0,1146091	0,0968959	0,1129886	
1,0400001	0,1137223	0,1034553	0,0923076	0,1148646	
1,08	0,0989529	0,1003448	0,0932907	0,1081638	
1,12	0,1025292	0,1019431	0,0963558	0,1033582	
1,1600001	0,0970754	0,1011652	0,0862309	0,10516	
1,2	0,1185977	0,1103284	0,112968	0,101241	
1,24	0,1212166	0,1069084	0,1212901	0,0977942	
1,2800001	0,1114336	0,0927234	0,0952786	0,0954908	
1,3200001	0,112992	0,1088295	0,1005249	0,1146806	
1,36	0,1062335	0,1116375	0,096777	0,1080533	
1,4000001	0,1240082	0,1324876	0,0989246	0,1233775	
1,4400001	0,1125358	0,1093874	0,1027135	0,1152084	
1,48	0,1125667	0,1128581	0,110769	0,1028728	
1,5200001	0,1104585	0,1137649	0,0958251	0,1169244	
1,5600001	0,1042963	0,1076503	0,0840484	0,1181931	
1,6	0,1038567	0,0999807	0,0932542	0,1200986	
1,6400001	0,1061735	0,0992456	0,1025331	0,1154787	
1,6800001	0,1264698	0,1245984	0,1015649	0,116436	
1,72	0,1028446	0,1026873	0,0925064	0,1070705	
1,7600001	0,0991617	0,1002876	0,0829421	0,1369332	
1,8000001	0,1114366	0,0987254	0,1095578	0,1208862	
1,84	0,1066415	0,0934576	0,0937395	0,1192796	
1,8800001	0,0912676	0,091503	0,088683	0,1232757	
1,9200001	0,1163382	0,1190021	0,09416	0,1123485	
1,96	0,1158138	0,1173035	0,0960959	0,1284192	
2	0,1234921	0,1342341	0,0866576	0,1278491	
2,0400002	0,1270056	0,1360016	0,1043471	0,1260802	
2,0800002	0,1029596	0,1001133	0,0993504	0,1272014	
2,1200001	0,1158997	0,0885783	0,0964393	0,1200802	
2,1600001	0,1074907	0,0839622	0,1144236	0,1149985	
2,2	0,103731	0,0952772	0,0902995	0,1155443	
2,24	0,090348	0,0861923	0,0899984	0,1288352	
2,2800002	0,099311	0,0834175	0,1085277	0,1117052	
2,3200002	0,101107	0,0882281	0,0946848	0,126192	
2,3600001	0,0926271	0,0870379	0,088968	0,1106799	
2,4000001	0,0888991	0,0812525	0,0849162	0,1186512	
2,4400001	0,1148448	0,1077636	0,1087537	0,1131843	
2,48	0,1002497	0,0856272	0,1026349	0,1246958	
2,5200002	0,0985245	0,0903461	0,0898434	0,1233125	
2,5600002	0,1050914	0,1036699	0,0957698	0,1204921	
2,6000001	0,0935935	0,0852617	0,0802607	0,1204595	
2,6400001	0,0995703	0,0947076	0,0961579	0,1302809	
2,6800001	0,095231	0,1004135	0,0712803	0,1196873	
2,72	0,0945753	0,0990047	0,0820418	0,1105965	
2,7600002	0,0966598	0,0968803	0,0853558	0,1210937	
2,8000002	0,1005576	0,1035049	0,0856226	0,1233364	
2,8400002	0,1034213	0,1045897	0,0919993	0,1173789	
2,8800001	0,1221756	0,1164701	0,109539	0,1301805	
2,9200001	0,1116066	0,1085295	0,0889222	0,1271516	
2,96	0,1099436	0,0962196	0,1018835	0,1352404	
3,0000002	0,1130628	0,1115298	0,0871192	0,110286	
3,0400002	0,1162645	0,1237188	0,0986598	0,1218022	
3,0800002	0,1198054	0,1304136	0,0941097	0,1406097	
3,1200001	0,1149735	0,1217102	0,0836144	0,1202808	
3,1600001	0,1139883	0,1135547	0,1035905	0,1195743	
3,2	0,1228561	0,1266831	0,0989467	0,118758	
3,2400002	0,1213669	0,11365	0,1181057	0,1108703	
3,2800002	0,1098663	0,1135822	0,0903738	0,1236308	
3,3200002	0,1159737	0,1267255	0,0996245	0,1077437	
3,3600001	0,109554	0,1086512	0,101611	0,1323208	
3,4000001	0,1071428	0,1051314	0,0936979	0,1049172	
3,4400001	0,106882	0,1113431	0,0785453	0,1074204	
3,4800003	0,1019476	0,1065267	0,0833358	0,108705	
3,5200002	0,1152031	0,1139929	0,0972628	0,1220193	
3,5600002	0,1119574	0,1084387	0,107856	0,1187258	
3,6000001	0,1148197	0,1131156	0,1103184	0,1125676	
3,6400001	0,1128752	0,1125573	0,0977642	0,1130985	
3,6800001	0,1199737	0,1211897	0,1018459	0,1121799	
3,7200003	0,118384	0,1231605	0,0947846	0,1202371	
