@TYPE	VH+VL	VH	VL	CD20
@	Y169A	Y169A	Y169A	Y169A
0	0,1045727	0,1063469	0,0844863	0,0999029
0,04	0,1077752	0,1108651	0,0817544	0,1175641
0,08	0,1096333	0,1095307	0,082528	0,1084174
0,12	0,1160283	0,1350775	0,0803194	0,1044088
0,16	0,1163876	0,123085	0,0980667	0,124497
0,2	0,1124391	0,1276847	0,0825556	0,1210148
0,24	0,1090608	0,124506	0,0796449	0,1164298
0,28	0,1176585	0,1309826	0,0890276	0,1375906
0,32	0,1251093	0,1269153	0,0981818	0,1318588
0,36	0,1062663	0,1083841	0,0877814	0,1433924
0,4	0,1117803	0,114712	0,0867863	0,1204291
0,44	0,1082414	0,1103658	0,0797039	0,1186389
0,48	0,1150647	0,133068	0,0733234	0,0955255
0,52	0,1242704	0,131658	0,0998137	0,1194159
0,56	0,1243754	0,1240283	0,0935783	0,1091469
0,6	0,117784	0,1309309	0,0916391	0,133425
0,64	0,1412234	0,1386066	0,0986106	0,1210307
0,68	0,1174097	0,1188381	0,1022354	0,1096744
0,72	0,1220484	0,1257126	0,1007364	0,1124944
0,7600001	0,1192378	0,1156794	0,0996701	0,1038989
0,8	0,1268855	0,115777	0,1094169	0,0864561
0,84	0,1192584	0,1242362	0,1009925	0,1255445
0,8800001	0,1181973	0,1127612	0,1052121	0,1031835
0,92	0,1049314	0,085355	0,1052019	0,1064487
0,96	0,1106003	0,0884534	0,1091151	0,0991942
1	0,101405	0,0882192	0,0965577	0,1020313
1,0400001	0,1130001	0,0900407	0,0972254	0,1043743
1,08	0,1093705	0,1033852	0,1088875	0,105025
1,12	0,1245828	0,1121193	0,1120299	0,108303
1,1600001	0,1218031	0,1266263	0,1068383	0,1093817
1,2	0,1187348	0,1175238	0,1003829	0,1101394
1,24	0,1090922	0,1059362	0,1008543	0,1193867
1,2800001	0,1063107	0,1030687	0,0900279	0,1213187
1,3200001	0,1069964	0,1123085	0,0956018	0,1159432
1,36	0,1086003	0,1101831	0,0976068	0,112931
1,4000001	0,1095831	0,0948881	0,1068029	0,1174958
1,4400001	0,1023225	0,1012621	0,1000271	0,1320896
1,48	0,1179403	0,1249017	0,0910655	0,1053148
1,5200001	0,1152324	0,1086242	0,0905012	0,1254431
1,5600001	0,1068214	0,1035219	0,0902586	0,1257112
1,6	0,1084853	0,0978108	0,1024607	0,1323359
1,6400001	0,1424119	0,1151799	0,1151861	0,1395566
1,6800001	0,1236244	0,0895149	0,1128556	0,1349092
1,72	0,1121133	0,0998548	0,1073791	0,1265624
1,7600001	0,1199695	0,1124975	0,1110845	0,1195911
1,8000001	0,1395513	0,1450066	0,0949608	0,1239632
1,84	0,1344215	0,1412013	0,100344	0,1167208
1,8800001	0,1475567	0,1348149	0,1084311	0,124416
1,9200001	0,1375476	0,1376763	0,1041345	0,1210983
1,96	0,1450382	0,1418255	0,1080818	0,1133275
2	0,1398327	0,123965	0,1277954	0,1373713
2,0400002	0,1304364	0,1291792	0,1049198	0,1339924
2,0800002	0,1266636	0,1287095	0,1021081	0,129433
2,1200001	0,1372073	0,1441173	0,1092431	0,1259687
2,1600001	0,1358837	0,1451335	0,1026971	0,1277682
2,2	0,1508443	0,1640191	0,0996234	0,1206086
2,24	0,1577643	0,1616669	0,1063546	0,1139707
2,2800002	0,1531333	0,1632071	0,1167225	0,1274271
2,3200002	0,164353	0,171415	0,1190163	0,1359671
2,3600001	0,1561823	0,1529232	0,12701	0,133224
2,4000001	0,1689454	0,1705505	0,1222858	0,1211567
2,4400001	0,1625145	0,1753666	0,1229594	0,098129
2,48	0,1548227	0,1683118	0,1251208	0,1064981
2,5200002	0,1548908	0,1563703	0,1371158	0,1131787
2,5600002	0,1473459	0,1345676	0,1321814	0,1115487
2,6000001	0,1505959	0,1573647	0,1218035	0,1301859
2,6400001	0,1524319	0,1536506	0,1203891	0,1310161
2,6800001	0,1543316	0,1638572	0,1273923	0,1258355
2,72	0,1698893	0,1747734	0,1353482	0,1103287
2,7600002	0,1606235	0,1682801	0,1404863	0,1161757
2,8000002	0,1510226	0,1474609	0,1443541	0,102936
2,8400002	0,1400531	0,1338041	0,1355018	0,1180605
2,8800001	0,1536978	0,135481	0,140098	0,1349127
2,9200001	0,1687293	0,1420762	0,1461913	0,1209705
2,96	0,1579039	0,157786	0,1420005	0,1114731
3,0000002	0,1603435	0,1418369	0,1398344	0,1224895
3,0400002	0,1500206	0,1329351	0,1464357	0,118875
3,0800002	0,1583922	0,1578351	0,1435477	0,1045345
3,1200001	0,1621881	0,1484973	0,1566175	0,1169307
3,1600001	0,1491507	0,1268949	0,1424379	0,1086473
3,2	0,1627587	0,1370461	0,1682316	0,1351273
3,2400002	0,1670537	0,1462955	0,1604583	0,1297351
3,2800002	0,1660081	0,1560248	0,1411585	0,1132715
3,3200002	0,1826969	0,1543108	0,1579864	0,1326329
3,3600001	0,159649	0,1365621	0,1474715	0,1238521
3,4000001	0,1619588	0,1505886	0,1529334	0,1455337
3,4400001	0,1604442	0,1333984	0,1532307	0,132161
3,4800003	0,1560725	0,1111082	0,1503276	0,1361348
3,5200002	0,1287483	0,103867	0,1366089	0,1498718
3,5600002	0,1389426	0,1031823	0,1434567	0,1317137
3,6000001	0,1533644	0,0950535	0,1433253	0,1408408
3,6400001	0,1710137	0,0967647	0,1632191	0,1528782
3,6800001	0,154543	0,0999722	0,1617671	0,1161677
3,7200003	0,145673	0,1004151	0,1488166	0,1303862
3,7600002	0,1551911	0,1051923	0,1640609	0,1477345
3,8000002	0,1681462	0,0975147	0,1488575	0,1381469
3,8400002	0,1481217	0,0894085	0,144897	0,1332652
3,8800001	0,1534763	0,1115369	0,1447296	0,1311574
3,9200001	0,1491419	0,1071251	0,148349	0,1443143
3,9600003	0,1286235	0,1045236	0,1442912	0,1351355
4	0,1317247	0,112088	0,1408054	0,1428324
4,04	0,1535128	0,0964653	0,1455847	0,1240448
