@TYPE	VH+VL	VH	VL	CD20
@	nativo	nativo	nativo	nativo
0	0,1902704	0,1468553	0,210849	0,1760551
0,04	0,1792168	0,1454744	0,1928448	0,1966096
0,08	0,2029549	0,149955	0,2189074	0,1946914
0,12	0,1857601	0,1555868	0,1984191	0,1816236
0,16	0,1908923	0,1654927	0,1963266	0,2020972
0,2	0,1981119	0,1766719	0,1980653	0,1867904
0,24	0,2183614	0,1947052	0,2168458	0,1908412
0,28	0,2211659	0,1784098	0,2143889	0,1832556
0,32	0,2087263	0,1938193	0,2007149	0,2133881
0,36	0,2033624	0,1835819	0,2059395	0,2216911
0,4	0,1861434	0,172323	0,1897362	0,2022014
0,44	0,2013518	0,1842305	0,2028883	0,2246404
0,48	0,1987709	0,1859611	0,1993916	0,2484162
0,52	0,2160964	0,197053	0,2041516	0,2273921
0,56	0,2012043	0,1747545	0,2054639	0,204662
0,6	0,1864249	0,1759762	0,1780082	0,2244865
0,64	0,1869868	0,1724193	0,1815678	0,2255488
0,68	0,2168278	0,1904009	0,1994138	0,1925436
0,72	0,2001393	0,1843774	0,1876111	0,1915804
0,7600001	0,2041858	0,1875311	0,1957193	0,1989852
0,8	0,2105371	0,1917805	0,2124196	0,1961222
0,84	0,2219372	0,2072948	0,2272221	0,1975855
0,8800001	0,2115262	0,2013415	0,1897704	0,216515
0,92	0,2107341	0,2040558	0,1922932	0,2163973
0,96	0,2059314	0,1786419	0,1874789	0,2107481
1	0,1948097	0,1691138	0,191734	0,2023307
1,0400001	0,1898916	0,1590504	0,199992	0,2010705
1,08	0,19042	0,1656629	0,1982484	0,1981359
1,12	0,1835191	0,1563818	0,1936403	0,203376
1,1600001	0,1994907	0,1632288	0,2017332	0,1959823
1,2	0,2034739	0,173869	0,2113154	0,1889929
1,24	0,2074272	0,1801426	0,209712	0,2104779
1,2800001	0,2080465	0,1833192	0,213189	0,2134897
1,3200001	0,2071118	0,1842183	0,2159054	0,1827915
1,36	0,2017042	0,1761902	0,2074112	0,1811426
1,4000001	0,2005062	0,1774635	0,2129713	0,2040052
1,4400001	0,2161853	0,1831859	0,234187	0,1994355
1,48	0,2193576	0,1784955	0,2371639	0,1933538
1,5200001	0,2161281	0,1929383	0,2223593	0,1915316
1,5600001	0,2185729	0,1962029	0,2275405	0,2058666
1,6	0,2112762	0,195377	0,216551	0,2057375
1,6400001	0,2335134	0,2288353	0,2221428	0,195693
1,6800001	0,2147164	0,2008709	0,2178632	0,2073137
1,72	0,223137	0,2070457	0,22779	0,2081255
1,7600001	0,2292338	0,219213	0,2214696	0,2072389
1,8000001	0,2251735	0,21552	0,2168421	0,2086689
1,84	0,2231153	0,2054027	0,2169085	0,2102172
1,8800001	0,2224592	0,2216618	0,2037971	0,222179
1,9200001	0,2096948	0,2032437	0,2053761	0,2267084
1,96	0,2055633	0,1948448	0,2089729	0,2051073
2	0,2182853	0,1944964	0,217741	0,2067129
2,0400002	0,231255	0,220343	0,2296671	0,2093099
2,0800002	0,2443816	0,2270143	0,2430752	0,2130635
2,1200001	0,2364733	0,2425531	0,2210007	0,2211382
2,1600001	0,2302893	0,2257793	0,2216538	0,2126728
2,2	0,2351509	0,2285663	0,2293159	0,2264994
2,24	0,245281	0,2375991	0,2254872	0,2136144
2,2800002	0,2210286	0,2197334	0,2162829	0,2159863
2,3200002	0,2201804	0,2072379	0,2238609	0,2021645
2,3600001	0,2214583	0,2034937	0,2267815	0,2232458
2,4000001	0,2329106	0,2262508	0,2157393	0,2200426
2,4400001	0,243482	0,2268069	0,233429	0,2161592
2,48	0,2338806	0,2225485	0,2307972	0,2057012
2,5200002	0,2295733	0,2109064	0,2357358	0,1971826
2,5600002	0,2255122	0,2300612	0,1934209	0,1967796
2,6000001	0,2348642	0,2419572	0,2081234	0,1893033
2,6400001	0,2401944	0,229256	0,223983	0,1853926
2,6800001	0,2200111	0,2038448	0,2159766	0,1880618
2,72	0,2253736	0,23661	0,1919136	0,2181679
2,7600002	0,208259	0,1923368	0,2084762	0,2097332
2,8000002	0,2055473	0,1883481	0,2019572	0,2064824
2,8400002	0,2064235	0,1875448	0,2050284	0,2205172
2,8800001	0,2171786	0,1876166	0,2189451	0,2107911
2,9200001	0,2054788	0,1727799	0,2096743	0,2229997
2,96	0,2104697	0,1880917	0,2080487	0,2225854
3,0000002	0,2136233	0,1864347	0,2283541	0,2276805
3,0400002	0,2235373	0,1893341	0,2396587	0,2110763
3,0800002	0,2155321	0,1915807	0,2206588	0,2134822
