@TYPE	VH+VL	VH	VL	CD20
@	D99N	D99N	D99N	D99N
0	0,1146712	0,0925687	0,1161643	0,0829114
0,04	0,1045784	0,0843461	0,1048059	0,0754219
0,08	0,1143006	0,0974801	0,1219029	0,0888472
0,12	0,1190573	0,0760698	0,1287356	0,0761762
0,16	0,1162923	0,0913088	0,1186337	0,0800157
0,2	0,1078035	0,0979117	0,1033243	0,0930213
0,24	0,1159227	0,0968808	0,1097791	0,0843667
0,28	0,1101729	0,0976596	0,1093335	0,0784779
0,32	0,1362268	0,1131891	0,1118387	0,0760216
0,36	0,1021706	0,0916926	0,1077217	0,1008403
0,4	0,1167488	0,0987656	0,1179983	0,0948954
0,44	0,1139887	0,1046872	0,0959113	0,0898084
0,48	0,1258074	0,1046028	0,1191337	0,1353737
0,52	0,1302	0,1142005	0,1102056	0,0990392
0,56	0,1076129	0,096021	0,1082508	0,1032178
0,6	0,1162735	0,1066836	0,1181468	0,0806153
0,64	0,1158316	0,1062483	0,117365	0,0983026
0,68	0,1134738	0,0931161	0,1198605	0,0989372
0,72	0,1129993	0,1040159	0,1152768	0,0957624
0,7600001	0,1155788	0,1011688	0,1255496	0,1056429
0,8	0,1161646	0,1080725	0,102987	0,0858359
0,84	0,1150863	0,1058434	0,1187954	0,1105213
0,8800001	0,1197434	0,1124643	0,1119329	0,0918491
0,92	0,1130116	0,1067487	0,1075348	0,0858234
0,96	0,1228146	0,1048093	0,1003516	0,1091962
1	0,1026365	0,0930401	0,1052723	0,0904382
1,0400001	0,1062891	0,0826874	0,1181991	0,1002386
1,08	0,1380641	0,1253127	0,1069615	0,0884247
1,12	0,1055874	0,1032436	0,095927	0,0884467
1,1600001	0,100921	0,0968154	0,0951364	0,0922875
1,2	0,1105247	0,1052211	0,1040997	0,0839401
1,24	0,1057112	0,1009676	0,1048204	0,0960086
1,2800001	0,1122271	0,0959396	0,1134608	0,1043756
1,3200001	0,1175535	0,0939698	0,093315	0,1094005
1,36	0,1229531	0,1078399	0,1068783	0,0795567
1,4000001	0,1282663	0,1172858	0,1065444	0,0754
1,4400001	0,1087075	0,0962401	0,1115164	0,0911808
1,48	0,1173227	0,1150009	0,1048004	0,1083839
1,5200001	0,1288556	0,1149624	0,1278958	0,1105129
1,5600001	0,1033593	0,0936249	0,1030135	0,0986659
1,6	0,1166166	0,1123909	0,1100133	0,0851733
1,6400001	0,1076826	0,0886155	0,1007215	0,1084042
1,6800001	0,1290034	0,1205157	0,1096598	0,1035915
1,72	0,1176909	0,0836601	0,1053687	0,0887348
1,7600001	0,1127159	0,0843586	0,1006096	0,1028499
1,8000001	0,1224894	0,0828756	0,1347981	0,0956943
1,84	0,1087158	0,0969493	0,0894244	0,0865117
1,8800001	0,1147624	0,0992278	0,1003389	0,0905503
1,9200001	0,1214899	0,1115032	0,1098161	0,0780474
1,96	0,0980457	0,0995365	0,0893467	0,087361
2	0,1061177	0,1034676	0,0835672	0,0908235
2,0400002	0,1222518	0,1107318	0,1107979	0,0994731
2,0800002	0,1251876	0,1109423	0,1146437	0,0971923
2,1200001	0,1189148	0,1081905	0,107592	0,0956963
2,1600001	0,1249943	0,11355	0,1073654	0,0987034
2,2	0,1233626	0,1241756	0,0962955	0,1163138
2,24	0,1239861	0,1072629	0,0976859	0,1258616
2,2800002	0,1123616	0,0968001	0,1124547	0,104842
2,3200002	0,1178804	0,1070052	0,101132	0,1122926
2,3600001	0,1231749	0,1010576	0,1157818	0,130316
2,4000001	0,1184238	0,1153641	0,1053744	0,0980112
2,4400001	0,1038557	0,0959026	0,0906043	0,1175111
2,48	0,127813	0,1159844	0,1112892	0,1068952
2,5200002	0,1331974	0,1207583	0,1018313	0,109259
2,5600002	0,1309563	0,1151609	0,1007685	0,0964595
2,6000001	0,1126318	0,1118732	0,0934351	0,0890593
2,6400001	0,1180179	0,1209911	0,0895746	0,0906945
2,6800001	0,1003455	0,0888179	0,1024687	0,1120867
2,72	0,1233495	0,110019	0,0955021	0,0957566
2,7600002	0,1317967	0,139369	0,1018163	0,0922203
2,8000002	0,1153977	0,1024749	0,1091064	0,1085392
2,8400002	0,1209914	0,1119482	0,0938525	0,1008542
2,8800001	0,1315825	0,1122169	0,0974789	0,101578
2,9200001	0,1163046	0,1030037	0,0899378	0,0971354
2,96	0,121093	0,1070178	0,1099115	0,0969962
3,0000002	0,1335401	0,113836	0,1072484	0,0949552
3,0400002	0,1244358	0,099353	0,113206	0,1124675
3,0800002	0,1408001	0,1275144	0,1110375	0,1043067
3,1200001	0,1304678	0,12783	0,0969351	0,095891
3,1600001	0,1114125	0,1049551	0,0998059	0,1098901
3,2	0,1315085	0,1231138	0,1244825	0,0997168
3,2400002	0,1246145	0,1016905	0,1264388	0,1051892
3,2800002	0,1395596	0,1165512	0,1281923	0,0941818
3,3200002	0,1393555	0,1313466	0,1133711	0,1104082
3,3600001	0,1360968	0,1191071	0,1094815	0,1124768
3,4000001	0,13943	0,1288981	0,106532	0,1164717
3,4400001	0,1252712	0,1008715	0,1034571	0,1192274
3,4800003	0,1324458	0,1128827	0,1151359	0,112672
3,5200002	0,1271983	0,1113574	0,1181278	0,1164282
3,5600002	0,1248803	0,1205811	0,1152256	0,104216
3,6000001	0,1197581	0,123833	0,0983098	0,108623
3,6400001	0,1362786	0,1348268	0,1091078	0,1117913
3,6800001	0,1403452	0,1256497	0,1134383	0,1115639
3,7200003	0,1430261	0,1353412	0,1197682	0,1104932
3,7600002	0,1294903	0,1232595	0,1208747	0,0985507
3,8000002	0,1507145	0,1391815	0,1185015	0,1065627
3,8400002	0,1389028	0,1260935	0,1181307	0,0992961
3,8800001	0,1657251	0,1403667	0,1244968	0,1073961
3,9200001	0,15287	0,1288608	0,1264875	0,1129463
3,9600003	0,1340861	0,1252771	0,1139914	0,1077592
4	0,1456472	0,1268049	0,1071101	0,1027446
4,04	0,1383828	0,125221	0,1190461	0,0951708
4,0800004	0,1303347	0,123689	0,1060534	0,1083756
4,1200004	0,1479315	0,1264392	0,1335873	0,1156145
4,1600003	0,1478664	0,1290503	0,1191318	0,1245759
4,2000003	0,1554773	0,1359813	0,1259947	0,1128386
4,2400002	0,1446136	0,1243848	0,1200874	0,113818
4,2800002	0,1380766	0,1272936	0,1018149	0,1183603
4,3200002	0,138379	0,1246194	0,1106816	0,1260778
4,3600001	0,1361942	0,1205264	0,1117377	0,1156961
4,4000001	0,1521928	0,1334672	0,1030493	0,1058919
4,4400001	0,1477898	0,1233681	0,1212276	0,1056855
4,48	0,1328482	0,1249327	0,0974236	0,0964348
4,52	0,1311201	0,1151262	0,1097281	0,1159021
4,5600004	0,1370619	0,1193029	0,1252275	0,1061459
4,6000004	0,1391767	0,122412	0,1032231	0,1112167
4,6400003	0,1412866	0,1189115	0,1179569	0,1182646
4,6800003	0,1530843	0,1288368	0,1132916	0,1066319
4,7200003	0,1417543	0,1305615	0,0944977	0,098307
4,7600002	0,1547332	0,1472433	0,0997956	0,0965031
4,8000002	0,1436331	0,1436503	0,0926112	0,111315
4,8400002	0,1278704	0,1271735	0,0907423	0,108596
4,8800001	0,1693037	0,1618314	0,1068418	0,1109236
4,9200001	0,1648529	0,1664941	0,1141536	0,120534
4,96	0,1613077	0,1611611	0,1177945	0,1109466
5	0,1649476	0,1650026	0,1153757	0,1152347
5,0400004	0,1578119	0,1493735	0,1372969	0,115918
5,0800004	0,1508484	0,1537437	0,1164735	0,1111577
5,1200004	0,1360993	0,1312704	0,1179923	0,1142133
5,1600003	0,1490765	0,1464933	0,1256499	0,1088948
5,2000003	0,1571507	0,1578659	0,1240974	0,1044837
5,2400002	0,1510979	0,1406362	0,1396808	0,1124663
5,2800002	0,1369924	0,1244995	0,1321524	0,1038151
5,3200002	0,14416	0,1311176	0,1130568	0,1002998
5,3600001	0,1360123	0,1293463	0,1141074	0,0992445
5,4000001	0,1471927	0,1281548	0,1408704	0,1004882
5,4400001	0,132375	0,1175239	0,1245914	0,1205219
5,4800005	0,1537282	0,1310534	0,112252	0,1103697
5,5200005	0,1425225	0,117663	0,1390915	0,1099518
5,5600004	0,1390202	0,1271895	0,1386198	0,1046166
5,6000004	0,1565179	0,1328192	0,1242642	0,1217701
5,6400003	0,149315	0,1209893	0,1406435	0,1170153
5,6800003	0,1282823	0,1123797	0,1156727	0,1252863
5,7200003	0,1285036	0,1213244	0,1214893	0,1141824
5,7600002	0,1384525	0,1237428	0,1261397	0,1235007
5,8000002	0,1392538	0,1318471	0,1200826	0,1236041
5,8400002	0,1281552	0,1253133	0,097634	0,1281484
5,8800001	0,1444228	0,1252351	0,1085228	0,1230774
