@TYPE	VH+VL	VH	VL	CD20
@	R228E	R228E	R228E	R228E
0	0,1019775	0,0952452	0,0853401	0,0815119
0,04	0,1084536	0,0947553	0,0776539	0,0851262
0,08	0,1135725	0,1060364	0,0907003	0,0749727
0,12	0,1006754	0,0844082	0,0996959	0,0860984
0,16	0,1174697	0,0990954	0,0930038	0,0876748
0,2	0,1043293	0,0978495	0,0992778	0,0896381
0,24	0,1086483	0,1060087	0,0843726	0,1053331
0,28	0,120022	0,1151502	0,08487	0,0941
0,32	0,1111022	0,110164	0,0851478	0,1044462
0,36	0,0909795	0,090777	0,0893307	0,1122124
0,4	0,1004741	0,104218	0,0774407	0,0929291
0,44	0,1068353	0,1097851	0,0898773	0,1097013
0,48	0,1088403	0,1152946	0,0730794	0,1097473
0,52	0,111149	0,0994936	0,0904967	0,1028457
0,56	0,1015773	0,1017697	0,084545	0,0928082
0,6	0,1141279	0,1062753	0,1039447	0,0945166
0,64	0,1071948	0,1100671	0,0925785	0,10722
0,68	0,1141545	0,1123738	0,1066004	0,1218477
0,72	0,1293541	0,1189897	0,1004599	0,1112303
0,7600001	0,1292418	0,1323128	0,0910198	0,1106836
0,8	0,1219987	0,1214745	0,0889808	0,1037713
0,84	0,1167708	0,1208748	0,0998811	0,1181773
0,8800001	0,1027196	0,1141756	0,068902	0,1224305
0,92	0,1191372	0,118587	0,0791315	0,1428054
0,96	0,1204181	0,116381	0,0899168	0,1247642
1	0,1084347	0,1063929	0,0910647	0,1205304
1,0400001	0,1198007	0,1205836	0,1005658	0,1057274
1,08	0,1310009	0,1341279	0,0915348	0,1038777
1,12	0,1423951	0,122779	0,0916142	0,095388
1,1600001	0,1162017	0,1118252	0,0878977	0,1020063
1,2	0,1167355	0,1000789	0,0923223	0,0966538
1,24	0,1180126	0,1109938	0,0956272	0,1047195
1,2800001	0,1028374	0,1036757	0,0895839	0,100816
1,3200001	0,1041358	0,0975087	0,0969144	0,1152414
1,36	0,0932305	0,0928124	0,0891324	0,1202388
1,4000001	0,0995717	0,083299	0,1023581	0,1158188
1,4400001	0,0928995	0,0894567	0,0958295	0,0898736
1,48	0,0969226	0,0919997	0,0964881	0,0987201
1,5200001	0,1105822	0,1023184	0,1081736	0,1080952
1,5600001	0,0973027	0,0878164	0,0881209	0,0945253
1,6	0,1178131	0,1139375	0,1068501	0,0974556
1,6400001	0,1291407	0,1125824	0,0970627	0,1149853
1,6800001	0,1241531	0,1098483	0,1151592	0,1231423
1,72	0,1224117	0,1186781	0,0996039	0,1124666
1,7600001	0,1290261	0,1240772	0,100289	0,1064125
1,8000001	0,1204648	0,1164701	0,105256	0,0991347
1,84	0,116324	0,1096669	0,0978605	0,1026395
1,8800001	0,1216615	0,1086212	0,0988639	0,1053063
1,9200001	0,1347063	0,1243406	0,0879858	0,1157334
1,96	0,1320825	0,1377614	0,0872623	0,1044979
2	0,1190605	0,1175441	0,0954214	0,1041904
2,0400002	0,113373	0,1083933	0,0890727	0,0967015
2,0800002	0,1192926	0,1120318	0,1047542	0,1143263
2,1200001	0,1295376	0,1039781	0,1056205	0,1055432
2,1600001	0,1327901	0,1043689	0,1095608	0,0931081
2,2	0,1196009	0,0981163	0,1091479	0,1023244
2,24	0,1098472	0,0975912	0,0972115	0,1010838
2,2800002	0,1033785	0,0986383	0,1001875	0,1034624
2,3200002	0,119212	0,1079882	0,0948873	0,088189
2,3600001	0,1256823	0,1077372	0,1097253	0,0835822
2,4000001	0,1238064	0,1231233	0,1026819	0,1148927
2,4400001	0,1248731	0,1094527	0,0895662	0,1068363
2,48	0,1132356	0,1090028	0,0926706	0,1023202
2,5200002	0,1133509	0,113582	0,1043183	0,1141782
2,5600002	0,1195749	0,1101789	0,1069223	0,1062661
2,6000001	0,1219248	0,1092461	0,1047984	0,1174467
2,6400001	0,1190254	0,0997492	0,1104216	0,1156616
2,6800001	0,1274065	0,1114235	0,1055655	0,1211223
2,72	0,1212511	0,1190886	0,1077132	0,1418414
2,7600002	0,1371056	0,1278926	0,1038966	0,1459496
2,8000002	0,139635	0,1389366	0,1063252	0,1400907
2,8400002	0,1188334	0,1136833	0,1066777	0,1499461
2,8800001	0,1240869	0,1085623	0,1087894	0,1260763
2,9200001	0,1212172	0,0984213	0,1036066	0,1610488
2,96	0,1415947	0,1146444	0,1323216	0,1407882
3,0000002	0,1410965	0,1392704	0,1079465	0,141107
3,0400002	0,1293656	0,1098753	0,1153457	0,1508535
3,0800002	0,1252117	0,1062864	0,1263111	0,1505547
3,1200001	0,1293412	0,1180808	0,1279203	0,1557871
3,1600001	0,1274292	0,1015478	0,1347219	0,1569035
3,2	0,1257793	0,1070565	0,1355024	0,1585471
3,2400002	0,1230852	0,1179942	0,1225888	0,141803
3,2800002	0,1208026	0,1067996	0,1297637	0,1343488
3,3200002	0,1324685	0,1278317	0,1360054	0,1463304
3,3600001	0,1215419	0,1038624	0,1293051	0,1362274
3,4000001	0,1297213	0,111853	0,1307112	0,1416671
3,4400001	0,1285498	0,1128022	0,1328652	0,1548244
3,4800003	0,1252284	0,1016694	0,1422175	0,1609593
3,5200002	0,1321445	0,1047513	0,1361417	0,1504693
3,5600002	0,1211572	0,0947553	0,1200465	0,1444882
3,6000001	0,1124575	0,1010704	0,115382	0,140047
3,6400001	0,1223939	0,1169383	0,1215843	0,1211316
3,6800001	0,1125438	0,1097377	0,1099733	0,1191783
3,7200003	0,1216676	0,1159598	0,1169807	0,1148542
3,7600002	0,1228471	0,1204614	0,1069479	0,1219063
3,8000002	0,1112863	0,0907713	0,1107978	0,1109695
3,8400002	0,1275261	0,1116818	0,1128172	0,1369107
3,8800001	0,1131071	0,0907795	0,1169192	0,1213744
3,9200001	0,1104163	0,102708	0,1136035	0,1416751
3,9600003	0,1129298	0,1077954	0,1124747	0,129333
4	0,1167682	0,1035944	0,1002146	0,1309279
4,04	0,1140239	0,0960939	0,1113915	0,1379242
4,0800004	0,1123475	0,101585	0,1171554	0,1362725
4,1200004	0,1093441	0,0997908	0,1026497	0,1298778
4,1600003	0,1183936	0,0892188	0,1267467	0,1363646
4,2000003	0,1426969	0,130677	0,1084787	0,1309468
4,2400002	0,1399768	0,1171852	0,1038608	0,1207946
4,2800002	0,1450912	0,1031885	0,0953285	0,1403486
4,3200002	0,1286342	0,1021046	0,1081943	0,1388984
4,3600001	0,1354617	0,1108991	0,1014455	0,1299129
4,4000001	0,1288024	0,1000276	0,1103893	0,1340526
4,4400001	0,1299354	0,1110156	0,1182929	0,1423345
4,48	0,1314024	0,1028494	0,1200867	0,1370216
4,52	0,1261811	0,1101728	0,106622	0,1203004
4,5600004	0,1258012	0,1079708	0,1046731	0,127707
4,6000004	0,1298359	0,1172974	0,1140608	0,1308197
4,6400003	0,1377013	0,1253425	0,0995704	0,1257539
4,6800003	0,1373563	0,1403983	0,103391	0,1169198
4,7200003	0,1355141	0,1240174	0,1182887	0,1030874
4,7600002	0,1253687	0,1271063	0,1137917	0,1259934
4,8000002	0,1463613	0,1334734	0,1083299	0,1122379
4,8400002	0,1332648	0,1281382	0,117634	0,1243375
4,8800001	0,1277037	0,120031	0,1113861	0,1234648
4,9200001	0,1380447	0,1250867	0,115057	0,1341365
4,96	0,1517555	0,1472412	0,124762	0,1305571
5	0,1277964	0,1111991	0,1192081	0,1215367
5,0400004	0,1501726	0,1490305	0,1157106	0,1215834
5,0800004	0,1254889	0,1183571	0,1063304	0,1394143
5,1200004	0,1327749	0,1341275	0,1019892	0,1305722
5,1600003	0,1255043	0,1234307	0,0924787	0,1305089
5,2000003	0,1428254	0,117156	0,1182441	0,1347081
5,2400002	0,1240704	0,1289094	0,1014131	0,1240887
5,2800002	0,1270881	0,131665	0,1056404	0,1330804
5,3200002	0,1193105	0,113032	0,0976428	0,1376315
5,3600001	0,1186799	0,1131676	0,1015919	0,1252901
5,4000001	0,119148	0,1101748	0,1163733	0,1267409
5,4400001	0,121781	0,115703	0,1018853	0,1251835
