@TYPE	VH+VL	VH	VL	CD20
@	Y107A	Y107A	Y107A	Y107A
0	0,1343587	0,1208093	0,1019255	0,0861932
0,04	0,1105583	0,1024567	0,1022506	0,0675213
0,08	0,1063149	0,106498	0,0980384	0,0756615
0,12	0,0830889	0,0847571	0,0779485	0,0821452
0,16	0,104246	0,0982109	0,0890107	0,0719967
0,2	0,1101623	0,0949661	0,0886746	0,0944728
0,24	0,1086583	0,1049449	0,0736887	0,0916281
0,28	0,1029696	0,103842	0,0957579	0,0939031
0,32	0,1067943	0,0998188	0,0769867	0,0898241
0,36	0,106993	0,0941876	0,1034586	0,0866627
0,4	0,1013973	0,1033231	0,0780523	0,0973101
0,44	0,0845533	0,0732058	0,0806449	0,0877416
0,48	0,091212	0,0805334	0,0794845	0,09363
0,52	0,0905574	0,0810959	0,0703977	0,104836
0,56	0,1032457	0,0999255	0,0919528	0,0971862
0,6	0,1067317	0,104468	0,102209	0,1007017
0,64	0,0991439	0,1009164	0,0784573	0,1028283
0,68	0,0981956	0,0875336	0,0974384	0,0992229
0,72	0,0839835	0,0721672	0,0761107	0,1056048
0,7600001	0,1055105	0,0959748	0,0947254	0,1071977
0,8	0,0988017	0,1020836	0,0814979	0,1067894
0,84	0,1071161	0,1072299	0,0916349	0,1012245
0,8800001	0,110769	0,111513	0,0842276	0,1077893
0,92	0,09957	0,0911086	0,0794974	0,1035383
0,96	0,1144583	0,1105954	0,0932213	0,1012741
1	0,1449533	0,114078	0,105287	0,0936805
1,0400001	0,1153857	0,0962742	0,0928675	0,0980843
1,08	0,1275007	0,1120498	0,0985422	0,0963583
1,12	0,1073417	0,0868529	0,0942537	0,1126117
1,1600001	0,1094098	0,0930065	0,0971047	0,1058559
1,2	0,1250194	0,1144012	0,102533	0,1091059
1,24	0,1095379	0,104564	0,094777	0,1034068
1,2800001	0,1017564	0,0894465	0,0983856	0,0960762
1,3200001	0,1005933	0,0928426	0,0984513	0,096217
1,36	0,1040725	0,0943329	0,0908137	0,0922756
1,4000001	0,1052354	0,1109177	0,0870924	0,1086229
1,4400001	0,1119356	0,1009117	0,0929911	0,0890967
1,48	0,0993377	0,0907258	0,0948269	0,0915281
1,5200001	0,1187137	0,0976068	0,1052711	0,1023808
1,5600001	0,1128674	0,094764	0,09308	0,0945252
1,6	0,104654	0,0906212	0,0929735	0,0850782
1,6400001	0,1201819	0,1143132	0,0956083	0,0935139
1,6800001	0,1313617	0,1116877	0,1065289	0,0928358
1,72	0,116708	0,1054502	0,0957657	0,103815
1,7600001	0,1385889	0,1083572	0,1234998	0,0915106
1,8000001	0,1272751	0,1132626	0,1089503	0,090325
1,84	0,1317253	0,1004585	0,1120669	0,0867944
1,8800001	0,1342072	0,1043347	0,1144578	0,0903891
1,9200001	0,1511116	0,1229742	0,1221862	0,0945983
1,96	0,1373168	0,1033871	0,118547	0,0914921
2	0,1218882	0,1064287	0,1167919	0,088653
2,0400002	0,136705	0,124791	0,1107966	0,0955581
2,0800002	0,1108231	0,1006752	0,1019593	0,0942993
2,1200001	0,1371631	0,0999913	0,1054227	0,0991149
2,1600001	0,13418	0,1098716	0,1053832	0,0904379
2,2	0,118724	0,1127014	0,109087	0,1010057
2,24	0,143282	0,1155087	0,1156103	0,0984549
2,2800002	0,1384256	0,108608	0,1039362	0,1105263
2,3200002	0,1124264	0,1026664	0,1125714	0,1033171
2,3600001	0,1227163	0,1067576	0,1029372	0,1091104
2,4000001	0,1314232	0,1085645	0,1155629	0,1101071
2,4400001	0,1355757	0,1116209	0,1108803	0,098086
2,48	0,11117	0,0987324	0,1005566	0,0971218
2,5200002	0,1116952	0,1076489	0,103837	0,1060984
2,5600002	0,1028702	0,0976558	0,1002642	0,1014364
2,6000001	0,0960565	0,0937043	0,0895505	0,1006024
2,6400001	0,1072993	0,0941821	0,1059008	0,11993
