@TYPE	xy	xy	xy
@	subtitle	subtitle	subtitle
0	0,173256	0,1441245	0,1897404
0,04	0,2125367	0,1370516	0,1759218
0,08	0,1961648	0,1453634	0,2040889
0,12	0,2070012	0,1502437	0,1853525
0,16	0,1889064	0,163857	0,1919101
0,2	0,221049	0,1722104	0,196923
0,24	0,2604277	0,1877127	0,2138266
0,28	0,2439093	0,1707505	0,2179595
0,32	0,2441476	0,1881822	0,2057008
0,36	0,2545278	0,1746716	0,2006103
0,4	0,1862295	0,1711363	0,1858151
0,44	0,2035478	0,1824436	0,2011537
0,48	0,2554431	0,177892	0,1953899
0,52	0,2450831	0,1915446	0,2135887
0,56	0,2213295	0,1690039	0,198783
0,6	0,2118854	0,1724052	0,1840485
0,64	0,2146689	0,1676705	0,1833785
0,68	0,210858	0,1884789	0,2148943
0,72	0,2123636	0,1817348	0,1986691
0,7600001	0,2877742	0,1738585	0,196291
0,8	0,2690659	0,1818558	0,2055585
0,84	0,273901	0,1993095	0,2182891
0,8800001	0,2396091	0,1972397	0,2061817
0,92	0,2728879	0,1954377	0,2046362
0,96	0,232618	0,1721477	0,1997828
1	0,1910724	0,1671175	0,1930962
1,0400001	0,1738709	0,1578618	0,1884797
1,08	0,1803135	0,1645057	0,1896343
1,12	0,1824849	0,1541497	0,1827724
1,1600001	0,14888	0,1654017	0,1991036
1,2	0,1941929	0,1724591	0,2014751
1,24	0,2050236	0,1780377	0,2051022
1,2800001	0,2382487	0,1771638	0,204308
1,3200001	0,2291907	0,1791672	0,2043605
1,36	0,2049189	0,1727929	0,2007168
1,4000001	0,2418125	0,1686325	0,1972997
1,4400001	0,2430109	0,1757303	0,2147205
1,48	0,2593102	0,1675967	0,2164238
1,5200001	0,2726501	0,1824175	0,2121863
1,5600001	0,2868382	0,1846766	0,2141185
1,6	0,2640678	0,1870662	0,208162
1,6400001	0,383115	0,2066005	0,2231441
1,6800001	0,3002218	0,1881784	0,2110357
1,72	0,2838479	0,1973245	0,2203983
1,7600001	0,290525	0,2109539	0,2245559
1,8000001	0,3182082	0,2019213	0,2199836
1,84	0,2790468	0,1971071	0,2213195
1,8800001	0,3122703	0,210825	0,2175429
1,9200001	0,2893228	0,1924536	0,2047978
1,96	0,3365634	0,1748297	0,197328
2	0,2552174	0,1875532	0,2150577
2,0400002	0,2900929	0,2123771	0,2286998
2,0800002	0,3220531	0,215721	0,2418615
2,1200001	0,4283428	0,214816	0,2234758
2,1600001	0,3734173	0,2045943	0,2206425
2,2	0,3825212	0,2068298	0,2265971
2,24	0,3563875	0,2216265	0,23823
2,2800002	0,2965224	0,210495	0,2169179
2,3200002	0,2864249	0,1978862	0,2167937
2,3600001	0,3188714	0,1878681	0,2167875
2,4000001	0,3245331	0,2145502	0,2287664
2,4400001	0,3272291	0,2137485	0,2394078
2,48	0,3232641	0,2097574	0,2281859
2,5200002	0,2760323	0,203559	0,2279535
2,5600002	0,3402758	0,2149255	0,2174073
2,6000001	0,3511224	0,22848	0,2274258
2,6400001	0,3431033	0,2142292	0,2323034
2,6800001	0,3037697	0,1908838	0,2155064
2,72	0,3579299	0,2198687	0,2158335
2,7600002	0,3077429	0,1765572	0,2030772
2,8000002	0,2381648	0,1827493	0,2037403
2,8400002	0,2680385	0,1779471	0,201416
2,8800001	0,284535	0,1756844	0,2139492
2,9200001	0,2034642	0,1698481	0,2054978
2,96	0,250129	0,1808892	0,2093349
3,0000002	0,2919923	0,1721036	0,2102317
3,0400002	0,2490116	0,1825238	0,2238015
3,0800002	0,2787248	0,1808457	0,2127478
3,1200001	0,3025789	0,2096868	0,227225
3,1600001	0,2378212	0,1783858	0,2029156
3,2	0,2047017	0,1882333	0,2025433
3,2400002	0,2600697	0,1842645	0,2113541
3,2800002	0,2583775	0,1853496	0,2119941
3,3200002	0,2886025	0,1963237	0,2150967
3,3600001	0,2434351	0,192613	0,2142211
3,4000001	0,2588071	0,1784604	0,2070101
3,4400001	0,2451122	0,1975134	0,2239884
3,4800003	0,2429825	0,1714386	0,2092952
3,5200002	0,2756846	0,196593	0,2126965
3,5600002	0,3129797	0,1978032	0,210656
3,6000001	0,2177649	0,1711899	0,1986732
3,6400001	0,2403689	0,1718364	0,207219
3,6800001	0,228782	0,1697693	0,2098394
3,7200003	0,235642	0,1672031	0,1951181
3,7600002	0,2861333	0,1819309	0,2048101
3,8000002	0,2668248	0,1838313	0,2060824
3,8400002	0,2862088	0,1769539	0,2042428
3,8800001	0,3070464	0,17454	0,1930139
3,9200001	0,2360864	0,1801023	0,2078744
3,9600003	0,2358017	0,1710005	0,2038734
4	0,1817372	0,1749618	0,2022343
4,04	0,1698644	0,1685182	0,2006511
4,0800004	0,1812052	0,1621652	0,202645
4,1200004	0,2052905	0,1530577	0,1941883
4,1600003	0,2231484	0,1554656	0,2066848
4,2000003	0,2261498	0,1558322	0,1978421
4,2400002	0,2223841	0,1604351	0,2055752
4,2800002	0,2483191	0,1632245	0,2057949
4,3200002	0,2157272	0,1594213	0,1918636
4,3600001	0,1967765	0,1628482	0,1919178
4,4000001	0,2376799	0,1673926	0,2039343
4,4400001	0,2394503	0,1641642	0,1995234
4,48	0,2398408	0,1525624	0,1895015
4,52	0,2459892	0,1677681	0,1918024
4,5600004	0,261811	0,1656495	0,1911225
4,6000004	0,2273136	0,1564191	0,1916278
4,6400003	0,2314502	0,1558232	0,1961645
4,6800003	0,253987	0,1616326	0,1935472
4,7200003	0,2154905	0,1678678	0,1892212
4,7600002	0,2316558	0,171239	0,1976117
4,8000002	0,2298625	0,1700811	0,2007354
4,8400002	0,2414697	0,1704756	0,1956018
4,8800001	0,2497399	0,1800556	0,2081693
4,9200001	0,2746015	0,1834025	0,1981913
4,96	0,2406286	0,1832141	0,2059736
5	0,2342193	0,1731601	0,1961197
5,0400004	0,2877216	0,1851199	0,1958761
5,0800004	0,2751884	0,1743748	0,1958504
5,1200004	0,3020172	0,185245	0,2061798
5,1600003	0,2515814	0,1613941	0,2016474
5,2000003	0,2553936	0,1780568	0,1954525
5,2400002	0,2420695	0,17213	0,2068004
5,2800002	0,2436257	0,1664836	0,1931421
5,3200002	0,2586856	0,1657623	0,1915749
5,3600001	0,2426594	0,1677677	0,1918274
5,4000001	0,2315781	0,1589318	0,1826206
5,4400001	0,2498001	0,1615845	0,1891707
5,4800005	0,235293	0,1756879	0,1961166
5,5200005	0,2270912	0,1708651	0,1931485
5,5600004	0,1958444	0,1536669	0,1782077
5,6000004	0,2208956	0,1559042	0,1847281
5,6400003	0,1939342	0,147422	0,1794828
5,6800003	0,2405732	0,1540011	0,1861341
5,7200003	0,240302	0,1631874	0,194281
5,7600002	0,2109904	0,1572864	0,1890064
5,8000002	0,2245955	0,1597868	0,1850368
5,8400002	0,248477	0,1705701	0,1928636
5,8800001	0,2495495	0,1748366	0,2023326
5,9200001	0,2214571	0,1500698	0,1934521
5,9600005	0,2246871	0,1432698	0,1741625
6,0000005	0,2009947	0,1584906	0,1742281
6,0400004	0,2259492	0,1530628	0,1987498
6,0800004	0,2134291	0,1565746	0,1976061
6,1200004	0,2502955	0,1580125	0,1873758
6,1600003	0,2149622	0,1532472	0,1997339
6,2000003	0,2477183	0,1514744	0,2035643
6,2400002	0,2449507	0,1542847	0,18627
6,2800002	0,2600665	0,1518571	0,1833342
6,3200002	0,2765069	0,1447317	0,1889304
6,3600001	0,2389684	0,1537315	0,2010648
6,4000001	0,2434141	0,145913	0,1846419
6,4400005	0,2361668	0,141478	0,1983492
6,4800005	0,2574944	0,156382	0,1908891
6,5200005	0,259562	0,1626458	0,195597
6,5600004	0,2455321	0,1686291	0,194711
6,6000004	0,2551498	0,1617548	0,1963699
6,6400003	0,2281343	0,1646477	0,1969573
6,6800003	0,252975	0,172139	0,1951702
6,7200003	0,2318135	0,1607409	0,1913207
6,7600002	0,1976189	0,1561794	0,1847711
6,8000002	0,2065343	0,1773599	0,1918707
6,8400002	0,2230549	0,1772207	0,1930829
6,8800001	0,2187194	0,1948867	0,2017949
6,9200006	0,2646282	0,1885028	0,2001476
6,9600005	0,2322598	0,1776283	0,1903633
7,0000005	0,2286062	0,1633456	0,1797527
7,0400004	0,2517482	0,1640015	0,1742362
7,0800004	0,2324256	0,174166	0,1907659
7,1200004	0,2348935	0,1829309	0,2015189
7,1600003	0,2173386	0,1836322	0,1899734
7,2000003	0,2558931	0,1663337	0,1948182
7,2400002	0,2403669	0,177497	0,2064975
7,2800002	0,2314465	0,1993243	0,2081646
7,3200002	0,2306833	0,1908241	0,2238293
7,3600001	0,1750525	0,1684504	0,2065605
7,4000006	0,2329744	0,1801332	0,2131955
7,4400005	0,2807183	0,1709036	0,2132124
7,4800005	0,249717	0,1693498	0,204433
7,5200005	0,2078939	0,178377	0,2056967
7,5600004	0,2111797	0,1614856	0,2037778
7,6000004	0,2500327	0,1733027	0,2097727
7,6400003	0,2325631	0,1887168	0,2150738
7,6800003	0,217313	0,1823292	0,2129347
7,7200003	0,2478482	0,1777658	0,2087192
7,7600002	0,2245452	0,1680286	0,2046699
7,8000002	0,2140873	0,1573203	0,207035
7,8400002	0,1943504	0,1571625	0,2171663
7,8800006	0,2099837	0,1644903	0,1967913
7,9200006	0,2148931	0,1493422	0,1974143
7,9600005	0,2118627	0,1644742	0,2216308
8	0,2544326	0,1777266	0,2086891
8,04	0,2492768	0,1858896	0,1924646
8,0799999	0,2262976	0,1728282	0,2056491
8,1200008	0,204343	0,1818656	0,2061682
8,1600008	0,202864	0,1765634	0,2083815
8,2000008	0,2268791	0,1905308	0,2094523
8,2400007	0,2654765	0,1860964	0,2067799
8,2800007	0,2480352	0,1834851	0,2057589
8,3200006	0,1930522	0,1751243	0,2048481
8,3600006	0,1987388	0,1832251	0,218288
8,4000006	0,2327554	0,1909815	0,2293642
8,4400005	0,2434437	0,1845276	0,2203165
8,4800005	0,2127459	0,1879683	0,217729
8,5200005	0,2258644	0,1902918	0,2096894
8,5600004	0,2257508	0,1926567	0,2211874
8,6000004	0,2184242	0,1784772	0,2109208
8,6400003	0,2035496	0,178465	0,197579
8,6800003	0,2290922	0,1846895	0,2240878
8,7200003	0,2124754	0,1792983	0,2135136
8,7600002	0,2105723	0,1887388	0,2113281
8,8000002	0,2019361	0,1758168	0,2130427
8,8400002	0,2213109	0,1801569	0,1997805
8,8800001	0,2296473	0,17537	0,2106662
8,9200001	0,2531679	0,1860651	0,2181059
8,96	0,2792266	0,1837997	0,2178622
9	0,2301119	0,1725569	0,2010157
9,04	0,2307866	0,1910922	0,2281878
9,0800009	0,2671801	0,1844767	0,2348612
9,1200008	0,214158	0,1829366	0,2255789
9,1600008	0,2595295	0,1835286	0,2257167
9,2000008	0,2226743	0,1847082	0,2248414
9,2400007	0,2413552	0,1928618	0,2197097
9,2800007	0,2350884	0,1778829	0,2204394
9,3200006	0,2315419	0,192977	0,2308758
9,3600006	0,2389809	0,1818668	0,2132063
9,4000006	0,2575964	0,1875193	0,19881
9,4400005	0,2188774	0,1899705	0,2108144
9,4800005	0,2359107	0,1915858	0,2059497
9,5200005	0,2156858	0,1911719	0,2186593
9,5600004	0,2355606	0,2045514	0,2220635
9,6000004	0,2233192	0,1803854	0,2028506
9,6400003	0,2712538	0,1888179	0,214556
9,6800003	0,2543179	0,1929455	0,2180201
9,7200003	0,2634932	0,1789805	0,2282589
9,7600002	0,2587035	0,2123329	0,2359755
9,8000002	0,2368935	0,1916789	0,2235025
9,8400002	0,2812792	0,1920637	0,2243827
9,8800001	0,2423151	0,1699311	0,1960901
9,9200001	0,1972402	0,1798252	0,2046781
9,96	0,2661206	0,1947419	0,2147003
10	0,250397	0,1856265	0,2309586
10,0400009	0,2346645	0,1792677	0,2049924
10,0800009	0,225036	0,1738185	0,2149566
10,1200008	0,2394707	0,1718865	0,2068257
10,1600008	0,2448267	0,1560026	0,2128561
10,2000008	0,2701096	0,1759961	0,2167732
10,2400007	0,261468	0,1714461	0,2175478
10,2800007	0,2852829	0,1789092	0,2195769
10,3200006	0,2710188	0,1733249	0,2201071
10,3600006	0,2704658	0,1755125	0,218011
10,4000006	0,2499814	0,1759577	0,214399
10,4400005	0,2526076	0,1715317	0,2128722
10,4800005	0,2830011	0,1768276	0,2277354
10,5200005	0,2473327	0,1757163	0,2025344
10,5600004	0,2881113	0,1649966	0,2052689
10,6000004	0,3217403	0,1790161	0,2155396
10,6400003	0,3413793	0,170656	0,2136361
10,6800003	0,3144712	0,1742795	0,2119783
10,7200003	0,338088	0,1757211	0,2357854
10,7600002	0,3141739	0,1763655	0,2250911
10,8000002	0,3586194	0,183052	0,2337199
10,8400002	0,3119318	0,1790268	0,2284108
10,8800001	0,3297406	0,1812477	0,2301972
10,9200001	0,3289486	0,1910082	0,2353177
10,960001	0,2830597	0,183546	0,2353287
11,000001	0,3223436	0,193015	0,2269833
11,0400009	0,3186936	0,1758378	0,2187073
11,0800009	0,3219419	0,1824926	0,2238111
11,1200008	0,338198	0,1879833	0,2213767
11,1600008	0,313289	0,1922674	0,2281223
11,2000008	0,3056307	0,1980801	0,2222998
11,2400007	0,2983362	0,1820004	0,2145943
11,2800007	0,3110286	0,1758227	0,2094806
11,3200006	0,3160642	0,1774787	0,2187784
11,3600006	0,3217334	0,1814955	0,218924
11,4000006	0,3038704	0,1729463	0,2049397
11,4400005	0,2795381	0,172357	0,2101235
11,4800005	0,3357515	0,1782231	0,218851
11,5200005	0,3056718	0,1631879	0,2098559
11,5600004	0,303387	0,1719645	0,2226186
11,6000004	0,2925859	0,1727197	0,2035033
11,6400003	0,3231053	0,1582728	0,1974099
11,6800003	0,3003596	0,1662593	0,2080079
11,7200003	0,3192818	0,1590617	0,2065324
11,7600002	0,328334	0,1586258	0,199715
11,8000002	0,3044457	0,1570384	0,1957678
11,8400002	0,2837836	0,1545044	0,1998519
11,8800001	0,2825547	0,1632134	0,2039188
11,920001	0,276578	0,1675818	0,1942734
11,960001	0,295352	0,1486807	0,2003102
12,000001	0,2457089	0,1521836	0,1870571
12,0400009	0,2287204	0,1506494	0,1877094
12,0800009	0,2601949	0,1476582	0,1864702
12,1200008	0,2557512	0,1597799	0,1946883
12,1600008	0,2172717	0,1586342	0,1880251
12,2000008	0,2628111	0,1643824	0,1897449
12,2400007	0,2382845	0,1742328	0,2120432
12,2800007	0,2588988	0,1707901	0,2073218
12,3200006	0,2689264	0,1725572	0,2137344
12,3600006	0,3051501	0,1759052	0,2168449
12,4000006	0,3146403	0,1846799	0,2086744
12,4400005	0,2928277	0,2011227	0,2201783
12,4800005	0,3076242	0,1740944	0,1986273
12,5200005	0,3100417	0,1896264	0,2103214
12,5600004	0,2806085	0,1672911	0,1948947
12,6000004	0,2948042	0,17313	0,2038877
12,6400003	0,3094863	0,1724783	0,195714
12,6800003	0,2823921	0,1662543	0,1955119
12,7200003	0,310733	0,1609109	0,2028247
12,7600002	0,3079857	0,1546674	0,2044514
12,8000002	0,2878833	0,1555694	0,1884367
12,8400002	0,3158936	0,1578624	0,1961845
12,8800011	0,3033783	0,1538379	0,1907828
12,920001	0,2853882	0,1680158	0,1984987
12,960001	0,313354	0,1731528	0,1904978
13,000001	0,3151759	0,1636991	0,2042279
13,0400009	0,2922525	0,1558245	0,2106702
13,0800009	0,2823732	0,1736817	0,2087369
13,1200008	0,292553	0,1644959	0,2061436
13,1600008	0,3169248	0,167598	0,1969094
