@TYPE	xy
@	subtitle
0	0,3968708
0,04	0,3785095
0,08	0,4081531
0,12	0,4302592
0,16	0,3797324
0,2	0,2830552
0,24	0,4230745
0,28	0,490548
0,32	0,4869549
0,36	0,3126836
0,4	0,2469363
0,44	0,3814939
0,48	0,4400099
0,52	0,4281062
0,56	0,3984628
0,6	0,3802515
0,64	0,3651429
0,68	0,3077237
0,72	0,3137303
0,7600001	0,3161229
0,8	0,3138029
0,84	0,3644013
0,8800001	0,3977534
0,92	0,4018631
0,96	0,3566126
1	0,3931397
1,0400001	0,5417005
1,08	0,56568
1,12	0,5540606
1,1600001	0,4567283
1,2	0,4997188
1,24	0,5155979
1,2800001	0,4903144
1,3200001	0,3964296
1,36	0,3865084
1,4000001	0,4504147
1,4400001	0,5647246
1,48	0,5429593
1,5200001	0,3484759
1,5600001	0,4303978
1,6	0,5381343
1,6400001	0,5794365
1,6800001	0,500495
1,72	0,5696415
1,7600001	0,5053296
1,8000001	0,5503195
1,84	0,6454496
1,8800001	0,6350541
1,9200001	0,6702992
1,96	0,7409788
2	0,6328608
2,0400002	0,7282853
2,0800002	0,6328659
2,1200001	0,6762726
2,1600001	0,795445
2,2	0,7346169
2,24	0,829349
2,2800002	0,8018704
2,3200002	0,7505279
2,3600001	0,9284171
2,4000001	0,8849653
2,4400001	0,900118
2,48	1,0179018
2,5200002	0,9545543
2,5600002	0,8985495
2,6000001	0,8423551
2,6400001	0,8375025
2,6800001	0,9241574
2,72	1,0699166
2,7600002	0,9204783
2,8000002	1,1285535
2,8400002	1,2852998
2,8800001	1,1329118
2,9200001	1,196357
2,96	1,1405904
3,0000002	1,0800823
3,0400002	1,0391594
3,0800002	1,081099
3,1200001	0,9893135
3,1600001	0,9457444
3,2	0,9072976
3,2400002	0,9491833
3,2800002	0,7760564
3,3200002	0,715409
3,3600001	0,8155658
3,4000001	0,7845926
3,4400001	0,9963197
3,4800003	0,956407
3,5200002	1,0867759
3,5600002	0,8406058
3,6000001	0,8047261
3,6400001	0,8447683
3,6800001	0,7096516
3,7200003	0,789664
3,7600002	0,8143371
3,8000002	0,9010585
3,8400002	0,8143664
3,8800001	0,6948344
3,9200001	0,5605912
3,9600003	0,6393076
4	0,5635571
4,04	0,6121059
4,0800004	0,6071892
4,1200004	0,6451766
4,1600003	0,7687114
4,2000003	0,6999606
4,2400002	0,7380915
4,2800002	0,7488638
4,3200002	0,7735039
4,3600001	0,7787675
4,4000001	0,6755736
4,4400001	0,6517622
4,48	0,7537492
4,52	0,7589298
4,5600004	0,7348584
4,6000004	0,8167866
4,6400003	0,8990391
4,6800003	0,8484021
4,7200003	0,7664449
4,7600002	0,6888947
4,8000002	0,6777303
4,8400002	0,6704206
4,8800001	0,6943132
4,9200001	0,7755238
4,96	0,8037956
5	0,7487701
5,0400004	0,6936988
5,0800004	0,7504801
5,1200004	0,8350571
5,1600003	0,7595284
5,2000003	0,7821233
5,2400002	0,7782643
5,2800002	0,7808526
5,3200002	0,743369
5,3600001	0,897229
5,4000001	0,9461203
5,4400001	0,9560968
5,4800005	0,8241338
5,5200005	0,7465463
5,5600004	0,634793
5,6000004	0,5246035
5,6400003	0,6310939
5,6800003	0,6526012
5,7200003	0,6940252
5,7600002	0,654442
5,8000002	0,6647254
5,8400002	0,6435798
5,8800001	0,7253922
5,9200001	0,745367
5,9600005	0,6589594
6,0000005	0,7622284
6,0400004	0,7672639
6,0800004	0,8091078
6,1200004	0,7979196
6,1600003	0,7782304
6,2000003	0,7655364
6,2400002	0,7398481
6,2800002	0,671549
6,3200002	0,6649314
6,3600001	0,6673502
6,4000001	0,6065831
6,4400005	0,5978934
6,4800005	0,5851184
6,5200005	0,6162314
6,5600004	0,598899
6,6000004	0,5994238
6,6400003	0,528827
6,6800003	0,7012746
6,7200003	0,6850576
6,7600002	0,7579741
6,8000002	0,7223766
6,8400002	0,7178456
6,8800001	0,6899819
6,9200006	0,7385088
6,9600005	0,719231
7,0000005	0,7843692
7,0400004	0,8390226
7,0800004	0,8122578
7,1200004	0,8892604
7,1600003	0,765234
7,2000003	0,7405791
7,2400002	0,6748471
7,2800002	0,684628
7,3200002	0,6990579
7,3600001	0,7307078
7,4000006	0,7251939
7,4400005	0,7181618
7,4800005	0,8191838
7,5200005	0,7139631
7,5600004	0,8693457
7,6000004	0,7824972
7,6400003	0,8230899
7,6800003	0,8432292
7,7200003	0,7797479
7,7600002	0,7839378
7,8000002	0,7770975
7,8400002	0,8601302
7,8800006	0,96759
7,9200006	0,8563643
7,9600005	0,8960536
8	0,8458917
8,04	0,8384022
8,0799999	0,8868727
8,1200008	0,8805643
8,1600008	0,97589
8,2000008	0,9484671
8,2400007	0,9202653
8,2800007	0,8464664
8,3200006	0,7678339
8,3600006	0,7932043
8,4000006	0,9081683
8,4400005	0,7681037
8,4800005	0,7410801
8,5200005	0,7499859
8,5600004	0,6286005
8,6000004	0,7175679
8,6400003	0,6936277
8,6800003	0,715448
8,7200003	0,7751222
8,7600002	0,7684506
8,8000002	0,7160894
8,8400002	0,7137507
8,8800001	0,6746196
8,9200001	0,7234585
8,96	0,6869555
9	0,5991228
9,04	0,648505
9,0800009	0,5723905
9,1200008	0,5450457
9,1600008	0,6337289
9,2000008	0,7451164
9,2400007	0,7404775
9,2800007	0,7094847
9,3200006	0,6341742
9,3600006	0,6278654
9,4000006	0,7729241
9,4400005	0,6958185
9,4800005	0,7116389
9,5200005	0,7462184
9,5600004	0,6495689
9,6000004	0,6381322
9,6400003	0,7068586
9,6800003	0,8526485
9,7200003	0,7003873
9,7600002	0,693518
9,8000002	0,5914229
9,8400002	0,6576433
9,8800001	0,7624444
9,9200001	0,6994784
9,96	0,6637174
10	0,5901101
10,0400009	0,6048287
10,0800009	0,5567529
10,1200008	0,6757596
10,1600008	0,6218554
10,2000008	0,6513959
10,2400007	0,7299364
10,2800007	0,839114
10,3200006	0,7993797
10,3600006	0,9600527
10,4000006	0,9523411
10,4400005	1,0831404
10,4800005	1,1057267
10,5200005	1,0650164
10,5600004	0,9634175
10,6000004	0,8294045
10,6400003	0,8489667
10,6800003	0,8799883
10,7200003	0,8386992
10,7600002	0,8515297
10,8000002	0,8795118
10,8400002	0,8181561
10,8800001	0,8190575
10,9200001	0,852205
10,960001	0,8125114
11,000001	0,9549701
11,0400009	0,9334291
11,0800009	0,959453
11,1200008	0,9453143
11,1600008	0,8571818
11,2000008	0,7855769
11,2400007	0,7645325
11,2800007	0,8171501
11,3200006	0,783153
11,3600006	0,6163096
11,4000006	0,7172449
11,4400005	0,7208887
11,4800005	0,6723045
11,5200005	0,7353747
11,5600004	0,8270181
11,6000004	0,6665031
11,6400003	0,6990237
11,6800003	0,6165119
11,7200003	0,5422183
11,7600002	0,5585902
11,8000002	0,5241122
11,8400002	0,4901199
11,8800001	0,5878806
11,920001	0,5868484
11,960001	0,5862156
12,000001	0,5417811
12,0400009	0,4790835
12,0800009	0,5826228
12,1200008	0,5814649
12,1600008	0,7630419
12,2000008	0,6367351
12,2400007	0,6529371
12,2800007	0,4993483
12,3200006	0,5140773
12,3600006	0,6862477
12,4000006	0,6537376
12,4400005	0,6398479
12,4800005	0,5133959
12,5200005	0,4558679
12,5600004	0,4756586
12,6000004	0,5301615
12,6400003	0,5540318
12,6800003	0,575601
12,7200003	0,7386742
12,7600002	0,6057811
12,8000002	0,6294661
12,8400002	0,6023167
12,8800011	0,6857728
12,920001	0,7002657
12,960001	0,6865985
13,000001	0,7990418
13,0400009	0,7508018
13,0800009	0,6645162
13,1200008	0,7543519
13,1600008	0,7594216
13,2000008	0,8761751
13,2400007	0,7265076
13,2800007	0,6182718
13,3200006	0,692117
13,3600006	0,6938124
13,4000006	0,7309227
13,4400005	0,8450314
13,4800005	0,8622024
13,5200005	0,7715939
13,5600004	0,6871889
13,6000004	0,739537
13,6400003	0,7424465
13,6800003	0,7639132
13,7200003	0,7313495
13,7600002	0,8399235
13,8000002	0,7650325
13,8400011	0,8543462
13,8800011	0,8779604
13,920001	0,879001
13,960001	0,7880296
14,000001	0,720624
14,0400009	0,7303535
14,0800009	0,8947928
14,1200008	0,7332001
14,1600008	0,6883367
14,2000008	0,7545918
14,2400007	0,8211342
14,2800007	0,7220055
14,3200006	0,8510878
14,3600006	0,7734506
14,4000006	0,6957434
14,4400005	0,7184184
14,4800005	0,5906382
14,5200005	0,6548691
14,5600004	0,681752
14,6000004	0,7117751
14,6400003	0,7294565
14,6800003	0,7473363
14,7200003	0,728985
14,7600002	0,7215279
14,8000011	0,705964
14,8400011	0,7341686
14,8800011	0,760949
14,920001	0,7266445
14,960001	0,8652133
15,000001	0,8734027
15,0400009	0,8806259
15,0800009	0,7568289
15,1200008	0,8077762
15,1600008	0,8471657
15,2000008	0,7501559
15,2400007	0,7855531
15,2800007	0,8285193
15,3200006	0,8061412
15,3600006	0,7918398
15,4000006	0,9244418
15,4400005	0,8754809
15,4800005	0,8331374
15,5200005	0,6494589
15,5600004	0,7968493
15,6000004	0,8034981
15,6400003	0,7871629
15,6800003	0,8411903
15,7200012	0,8563574
15,7600012	0,7839554
15,8000011	0,6755975
15,8400011	0,7852499
15,8800011	0,8108755
15,920001	0,8379521
15,960001	0,8905302
16	0,8085367
16,0400009	0,8865007
16,0799999	0,9659866
16,1200008	0,8256514
16,1599998	0,8247722
16,2000008	0,8777395
16,2400017	0,7780565
16,2800007	0,6191811
16,3200016	0,675157
16,3600006	0,7497312
16,4000015	0,7057431
16,4400005	0,7018301
16,4800014	0,6003327
16,5200005	0,5809671
16,5600014	0,6384214
16,6000004	0,7016765
16,6400013	0,6811733
16,6800003	0,6244246
16,7200012	0,7414052
16,7600002	0,520017
16,8000011	0,6104675
16,8400002	0,6767786
16,8800011	0,6728588
16,9200001	0,7398362
16,960001	0,7395067
17	0,6930189
17,0400009	0,7402486
17,0799999	0,6976022
17,1200008	0,775371
17,1600018	0,7073381
17,2000008	0,5947834
17,2400017	0,6060712
17,2800007	0,6688865
17,3200016	0,7304901
17,3600006	0,6742093
17,4000015	0,7066298
17,4400005	0,7098908
17,4800014	0,5792242
17,5200005	0,5875545
17,5600014	0,6517048
17,6000004	0,5118205
17,6400013	0,5452102
17,6800003	0,5124858
17,7200012	0,6321777
17,7600002	0,7424898
17,8000011	0,6963857
17,8400002	0,5714156
17,8800011	0,6147597
17,9200001	0,6655344
17,960001	0,6172013
18	0,6481042
18,0400009	0,6973133
18,0799999	0,7909797
18,1200008	0,5683713
18,1600018	0,5900955
18,2000008	0,5196915
18,2400017	0,531154
18,2800007	0,5393654
18,3200016	0,6372221
18,3600006	0,552115
18,4000015	0,5327245
18,4400005	0,4702253
18,4800014	0,3867151
18,5200005	0,4284797
18,5600014	0,4565342
18,6000004	0,4644624
18,6400013	0,4273279
18,6800003	0,5394449
18,7200012	0,4586165
18,7600002	0,554065
18,8000011	0,4523672
18,8400002	0,5654938
18,8800011	0,5582284
18,9200001	0,5374783
18,960001	0,7362399
19	0,7289408
19,0400009	0,7417603
19,0800018	0,6529616
19,1200008	0,6595922
19,1600018	0,6935602
19,2000008	0,6634925
19,2400017	0,6671194
19,2800007	0,5056058
19,3200016	0,5314601
19,3600006	0,494629
19,4000015	0,5821232
19,4400005	0,5633824
19,4800014	0,6101582
19,5200005	0,6248892
